id,scan_id,dimension,score,grade,record_types_evaluated
149,30,source_credibility,100,excellent,4
150,30,ttl_relevance,25,degraded,2
151,31,currentness,100,excellent,7
152,31,ttl_compliance,100,excellent,7
153,31,completeness,46.666668,degraded,7
154,31,source_credibility,100,excellent,4
155,31,ttl_relevance,64.28571,adequate,7
156,32,currentness,100,excellent,7
157,32,ttl_compliance,100,excellent,7
158,32,completeness,46.666668,degraded,7
159,32,source_credibility,100,excellent,4
160,32,ttl_relevance,64.28571,adequate,7
161,33,currentness,100,excellent,7
162,33,ttl_compliance,100,excellent,7
163,33,completeness,46.666668,degraded,7
164,33,source_credibility,100,excellent,4
165,33,ttl_relevance,35.714287,degraded,7
166,34,currentness,100,excellent,7
167,34,ttl_compliance,100,excellent,7
168,34,completeness,46.666668,degraded,7
169,34,source_credibility,100,excellent,4
170,34,ttl_relevance,42.857143,degraded,7
171,35,currentness,100,excellent,7
172,35,ttl_compliance,100,excellent,7
173,35,completeness,46.666668,degraded,7
174,35,source_credibility,100,excellent,4
175,35,ttl_relevance,14.285714,stale,7
176,36,currentness,100,excellent,6
177,36,ttl_compliance,100,excellent,6
178,36,completeness,40,degraded,6
179,36,source_credibility,100,excellent,4
180,36,ttl_relevance,16.666666,stale,6
181,37,currentness,100,excellent,7
182,37,ttl_compliance,100,excellent,7
183,37,completeness,46.666668,degraded,7
184,37,source_credibility,100,excellent,4
185,37,ttl_relevance,50,adequate,7
186,38,currentness,100,excellent,7
187,38,ttl_compliance,100,excellent,7
188,38,completeness,46.666668,degraded,7
189,38,source_credibility,100,excellent,4
190,38,ttl_relevance,14.285714,stale,7
191,39,currentness,100,excellent,6
192,39,ttl_compliance,100,excellent,6
193,39,completeness,40,degraded,6
194,39,source_credibility,100,excellent,4
195,39,ttl_relevance,16.666666,stale,6
196,40,currentness,100,excellent,7
197,40,ttl_compliance,100,excellent,7
198,40,completeness,46.666668,degraded,7
199,40,source_credibility,100,excellent,4
200,40,ttl_relevance,64.28571,adequate,7
201,41,currentness,100,excellent,6
202,41,ttl_compliance,100,excellent,6
203,41,completeness,40,degraded,6
204,41,source_credibility,100,excellent,4
205,41,ttl_relevance,16.666666,stale,6
206,42,currentness,100,excellent,6
207,42,ttl_compliance,100,excellent,6
208,42,completeness,40,degraded,6
209,42,source_credibility,100,excellent,4
210,42,ttl_relevance,25,degraded,6
211,43,currentness,100,excellent,6
212,43,ttl_compliance,100,excellent,6
213,43,completeness,40,degraded,6
214,43,source_credibility,100,excellent,4
215,43,ttl_relevance,25,degraded,6
216,44,currentness,100,excellent,6
217,44,ttl_compliance,100,excellent,6
218,44,completeness,40,degraded,6
219,44,source_credibility,100,excellent,4
220,44,ttl_relevance,8.333333,stale,6
221,45,currentness,100,excellent,6
222,45,ttl_compliance,100,excellent,6
223,45,completeness,40,degraded,6
224,45,source_credibility,100,excellent,4
225,45,ttl_relevance,0,stale,6
226,46,currentness,100,excellent,6
227,46,ttl_compliance,100,excellent,6
228,46,completeness,40,degraded,6
229,46,source_credibility,100,excellent,4
230,46,ttl_relevance,0,stale,6
231,47,currentness,100,excellent,6
232,47,ttl_compliance,100,excellent,6
233,47,completeness,40,degraded,6
234,47,source_credibility,100,excellent,4
235,47,ttl_relevance,16.666666,stale,6
